ACI,ADI,ADI_even,SH,NDSI,Class
0.715956025470335,0.22366918840252428,0.25283931847291635,0.759508318125314,0.6292385365606568,Good
0.715956025470335,0.22366918840252428,0.25283931847291635,0.759508318125314,0.6292385365606568,Bad
0.715956025470335,0.22366918840252428,0.25283931847291635,0.759508318125314,0.6292385365606568,Human
0.715956025470335,0.22366918840252428,0.25283931847291635,0.759508318125314,0.6292385365606568,Maybe
0.5949775071624569,0.5145595744413917,0.21054129893352236,0.5035904149805601,0.6481827186481918,Good
0.5949775071624569,0.5145595744413917,0.21054129893352236,0.5035904149805601,0.6481827186481918,Bad
0.5949775071624569,0.5145595744413917,0.21054129893352236,0.5035904149805601,0.6481827186481918,Human
0.5949775071624569,0.5145595744413917,0.21054129893352236,0.5035904149805601,0.6481827186481918,Maybe
0.5191711622090184,0.25014114193232717,0.2631738724347807,0.6192639318680737,0.5355512727758754,Good
0.5191711622090184,0.25014114193232717,0.2631738724347807,0.6192639318680737,0.5355512727758754,Bad
0.5191711622090184,0.25014114193232717,0.2631738724347807,0.6192639318680737,0.5355512727758754,Human
0.5191711622090184,0.25014114193232717,0.2631738724347807,0.6192639318680737,0.5355512727758754,Maybe
0.6625809534636401,0.09713074134015835,0.30932190322666664,0.9078989129572324,0.5244445018298454,Good
0.6625809534636401,0.09713074134015835,0.30932190322666664,0.9078989129572324,0.5244445018298454,Bad
0.6625809534636401,0.09713074134015835,0.30932190322666664,0.9078989129572324,0.5244445018298454,Human
0.6625809534636401,0.09713074134015835,0.30932190322666664,0.9078989129572324,0.5244445018298454,Maybe
0.6252062546657737,0.3077772341199644,0.23359248384183945,0.69507921394377,0.6609270072360941,Good
0.6252062546657737,0.3077772341199644,0.23359248384183945,0.69507921394377,0.6609270072360941,Bad
0.6252062546657737,0.3077772341199644,0.23359248384183945,0.69507921394377,0.6609270072360941,Human
0.6252062546657737,0.3077772341199644,0.23359248384183945,0.69507921394377,0.6609270072360941,Maybe
0.6296875734728344,0.5380832298292496,0.20519598300159514,0.48401835541802213,0.6498322966834061,Good
0.6296875734728344,0.5380832298292496,0.20519598300159514,0.48401835541802213,0.6498322966834061,Bad
0.6296875734728344,0.5380832298292496,0.20519598300159514,0.48401835541802213,0.6498322966834061,Human
0.6296875734728344,0.5380832298292496,0.20519598300159514,0.48401835541802213,0.6498322966834061,Maybe
0.5538735860177885,0.10981469632529141,0.36130858673184507,0.7146843344177313,0.42036330728903215,Good
0.5538735860177885,0.10981469632529141,0.36130858673184507,0.7146843344177313,0.42036330728903215,Bad
